Country,Population_UN,
Algeria,"44600000",
Angola,"33900000",
Benin,"12500000",
Botswana,"2400000",
Burkina Faso,"21500000",
Burundi,"12300000",
Cabo Verde,"600000",
Cameroon,"27200000",
Central African Republic,"4900000",
Chad,"16900000",
Comoros,"900000",
Republic of Congo,"5700000",
Democratic Republic of the Congo,"92400000",
Cote d'Ivoire,"27100000",
Djibouti,"1000000",
Egypt,"104300000",
Equatorial Guinea,"1400000",
Eritrea,"3600000",
Eswatini,"1200000",
Ethiopia,"117900000",
Gabon,"2300000",
Gambia,"2500000",
Ghana,"31700000",
Guinea,"13500000",
Guinea-Bissau,"2000000",
Kenya,"55000000",
Lesotho,"2200000",
Liberia,"5200000",
Libya,"7000000",
Madagascar,"28400000",
Malawi,"19600000",
Mali,"20900000",
Mauritania,"4800000",
Mauritius,"1300000",
Morocco,"37300000",
Mozambique,"32200000",
Namibia,"2600000",
Niger,"25100000",
Nigeria,"211400000",
Rwanda,"13300000",
Sao Tome & Principe,"200000",
Senegal,"17200000",
Seychelles,"100000",
Sierra Leone,"8100000",
Somalia,"16400000",
South Africa,"60000000",
South Sudan,"11400000",
Sudan,"44900000",
Tanzania,"61500000",
Togo,"8500000",
Tunisia,"11900000",
Uganda,"47100000",
Zambia,"18900000",
Zimbabwe,"15100000"
